ID,chemical_name,cas_rn,protected_cas_rn,DTXSID,PubChem_CID,InChI_string,InChIKey,smiles,S,S_unit,S_comment,S_AD,comment_compound,DTXSID_mixture_network
ID_0491,[5-(3-Fluorophenyl)-1-pentyl-1H-pyrrol-3-yl](naphthalen-1-yl)methanone,914458-31-4,CASRN_914458-31-4,DTXSID60658824,44418331,"InChI=1S/C26H24FNO/c1-2-3-6-15-28-18-21(17-25(28)20-11-7-12-22(27)16-20)26(29)24-14-8-10-19-9-4-5-13-23(19)24/h4-5,7-14,16-18H,2-3,6,15H2,1H3
",OCOICOMCAJNSCA-UHFFFAOYSA-N,CCCCCN1C=C(C=C1C1=CC(F)=CC=C1)C(=O)C1=CC=CC2=CC=CC=C12,1.3677417490853707,mg/L,OPERA 2.7,1,n/a,n/a
ID_0492,Raloxifene,84449-90-1,CASRN_84449-90-1,DTXSID3023550,5035,"InChI=1S/C28H27NO4S/c30-21-8-4-20(5-9-21)28-26(24-13-10-22(31)18-25(24)34-28)27(32)19-6-11-23(12-7-19)33-17-16-29-14-2-1-3-15-29/h4-13,18,30-31H,1-3,14-17H2
",GZUITABIAKMVPG-UHFFFAOYSA-N,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=CC=C(O)C=C2S1,3.201861363158887,mg/L,OPERA 2.7,0,n/a,n/a
ID_0493,alpha-Hydroxytriazolam,37115-45-0,CASRN_37115-45-0,DTXSID50958284,1963,"InChI=1S/C17H12Cl2N4O/c18-10-5-6-14-12(7-10)17(11-3-1-2-4-13(11)19)20-8-15-21-22-16(9-24)23(14)15/h1-7,24H,8-9H2
",BHUYWUDMVCLHND-UHFFFAOYSA-N,OCC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12,0.26022464121853733,mg/L,OPERA 2.7,1,n/a,n/a
ID_0494,alpha-Hydroxymidazolam,59468-90-5,CASRN_59468-90-5,DTXSID50208175,107917,"InChI=1S/C18H13ClFN3O/c19-11-5-6-16-14(7-11)18(13-3-1-2-4-15(13)20)22-9-12-8-21-17(10-24)23(12)16/h1-8,24H,9-10H2
",QHSMEGADRFZVNE-UHFFFAOYSA-N,OCC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,0.34176999999999996,mg/L,OPERA 2.7,1,n/a,n/a
ID_0495,Lauryl betaine,683-10-3,CASRN_683-10-3,DTXSID6041266,4292413,"InChI=1S/C16H33NO2/c1-4-5-6-7-8-9-10-11-12-13-14-17(2,3)15-16(18)19/h4-15H2,1-3H3
",DVEKCXOJTLDBFE-UHFFFAOYSA-N,CCCCCCCCCCCC[N+](C)(C)CC([O-])=O,48.27050544580153,mg/L,OPERA 2.7,1,n/a,n/a
ID_0496,Obidoxime,7683-36-5,CASRN_7683-36-5,DTXSID50227649,135412781,"InChI=1S/C14H14N4O3/c19-15-9-13-1-5-17(6-2-13)11-21-12-18-7-3-14(4-8-18)10-16-20/h1-10H,11-12H2/p+2
",HIGRLDNHDGYWQJ-UHFFFAOYSA-P,O=[NH+]C=C1C=CN(COCN2C=CC(=C[NH+]=O)C=C2)C=C1,32.34846524859817,mg/L,OPERA 2.7,1,n/a,n/a
ID_0497,Olopatadine,113806-05-6,CASRN_113806-05-6,DTXSID3023390,25271818,"InChI=1S/C21H23NO3/c1-22(2)11-5-8-18-17-7-4-3-6-16(17)14-25-20-10-9-15(12-19(18)20)13-21(23)24/h3-4,6-10,12H,5,11,13-14H2,1-2H3,(H,23,24)/b18-8-
",JBIMVDZLSHOPLA-LSCVHKIXSA-N,CN(C)CC\C=C1\C2=C(COC3=C1C=C(CC(O)=O)C=C3)C=CC=C2,24.443845721254327,mg/L,OPERA 2.7,1,n/a,n/a
ID_0498,Metazachlor OA | Metazachlor OXA,1231244-60-2,CASRN_1231244-60-2,DTXSID00891455,86290103,"InChI=1S/C14H15N3O3/c1-10-5-3-6-11(2)12(10)17(13(18)14(19)20)9-16-8-4-7-15-16/h3-8H,9H2,1-2H3,(H,19,20)
",PHMHHVKFXZNTKU-UHFFFAOYSA-N,CC1=CC=CC(C)=C1N(CN1C=CC=N1)C(=O)C(O)=O,3285.6925186546205,mg/L,OPERA 2.7,1,n/a,n/a
ID_0499,Thiacloprid,111988-49-9,CASRN_111988-49-9,DTXSID7034961,n/a,"InChI=1S/C10H9ClN4S/c11-9-2-1-8(5-13-9)6-15-3-4-16-10(15)14-7-12/h1-2,5H,3-4,6H2/b14-10-
",HOKKPVIRMVDYPB-UVTDQMKNSA-N,ClC1=CC=C(CN2CCS\C2=N/C#N)C=N1,183.07945583015143,mg/L,OPERA 2.7,1,n/a,n/a
ID_0500,"WIN 55,212-2",131543-22-1,CASRN_131543-22-1,DTXSID40894849,5311501,"InChI=1S/C27H26N2O3/c1-18-25(27(30)22-9-4-7-19-6-2-3-8-21(19)22)23-10-5-11-24-26(23)29(18)20(17-32-24)16-28-12-14-31-15-13-28/h2-11,20H,12-17H2,1H3/t20-/m1/s1
",HQVHOQAKMCMIIM-HXUWFJFHSA-N,CC1=C(C(=O)C2=CC=CC3=C2C=CC=C3)C2=CC=CC3=C2N1[C@H](CN1CCOCC1)CO3,0.724328089673374,mg/L,OPERA 2.7,1,n/a,n/a
ID_0501,Lauramidopropyl betaine,08.10.4292,CASRN_4292-10-8,DTXSID4041282,20280,"InChI=1S/C19H38N2O3/c1-4-5-6-7-8-9-10-11-12-14-18(22)20-15-13-16-21(2,3)17-19(23)24/h4-17H2,1-3H3,(H-,20,22,23,24)
",MRUAUOIMASANKQ-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC([O-])=O,179.7591505145932,mg/L,OPERA 2.7,1,n/a,n/a
ID_0502,Montelukast,158966-92-8,CASRN_158966-92-8,DTXSID9023334,5281040,"InChI=1S/C35H36ClNO3S/c1-34(2,40)30-9-4-3-7-25(30)13-17-32(41-23-35(18-19-35)22-33(38)39)27-8-5-6-24(20-27)10-15-29-16-12-26-11-14-28(36)21-31(26)37-29/h3-12,14-16,20-21,32,40H,13,17-19,22-23H2,1-2H3,(H,38,39)/b15-10+/t32-/m1/s1
",UCHDWCPVSPXUMX-TZIWLTJVSA-N,CC(C)(O)C1=C(CC[C@@H](SCC2(CC(O)=O)CC2)C2=CC(\C=C\C3=NC4=C(C=CC(Cl)=C4)C=C3)=CC=C2)C=CC=C1,3.373171368676679,mg/L,OPERA 2.7,1,n/a,n/a
ID_0503,{1-[(1-Methylpiperidin-2-yl)methyl]-1H-indol-3-yl}(naphthalen-1-yl)methanone,137642-54-7,CASRN_137642-54-7,DTXSID50433001,9929889,"InChI=1S/C26H26N2O/c1-27-16-7-6-11-20(27)17-28-18-24(22-13-4-5-15-25(22)28)26(29)23-14-8-10-19-9-2-3-12-21(19)23/h2-5,8-10,12-15,18,20H,6-7,11,16-17H2,1H3
",URKVBEKZCMUTQC-UHFFFAOYSA-N,CN1CCCCC1CN1C=C(C(=O)C2=CC=CC3=CC=CC=C23)C2=CC=CC=C12,1.357186050755672,mg/L,OPERA 2.7,1,n/a,n/a
ID_0504,"{1-[(Oxan-4-yl)methyl]-1H-indol-3-yl}(2,2,3,3-tetramethylcyclopropyl)methanone",895155-57-4,CASRN_895155-57-4,DTXSID60468349,11544639,"InChI=1S/C22H29NO2/c1-21(2)20(22(21,3)4)19(24)17-14-23(13-15-9-11-25-12-10-15)18-8-6-5-7-16(17)18/h5-8,14-15,20H,9-13H2,1-4H3
",NQTMRZNYLIGQCF-UHFFFAOYSA-N,CC1(C)C(C(=O)C2=CN(CC3CCOCC3)C3=CC=CC=C23)C1(C)C,10.490904031342817,mg/L,OPERA 2.7,1,n/a,n/a
ID_0505,JWH-200,103610-04-4,CASRN_103610-04-4,DTXSID60145946,10045570,"InChI=1S/C25H24N2O2/c28-25(22-10-5-7-19-6-1-2-8-20(19)22)23-18-27(24-11-4-3-9-21(23)24)13-12-26-14-16-29-17-15-26/h1-11,18H,12-17H2
",SZWYXJHTNGJPKU-UHFFFAOYSA-N,O=C(C1=CN(CCN2CCOCC2)C2=CC=CC=C12)C1=CC=CC2=CC=CC=C12,0.6380763145846855,mg/L,OPERA 2.7,1,n/a,n/a
ID_0506,Difenoconazole,119446-68-3,CASRN_119446-68-3,DTXSID4032372,86173,"InChI=1/C19H17Cl2N3O3/c1-13-9-25-19(27-13,10-24-12-22-11-23-24)17-7-6-16(8-18(17)21)26-15-4-2-14(20)3-5-15/h2-8,11-13H,9-10H2,1H3
",BQYJATMQXGBDHF-UHFFFAOYSA-N,CC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(OC2=CC=C(Cl)C=C2)C=C1,15.09399021730174,mg/L,OPERA 2.7,1,n/a,n/a
ID_0507,Phantolide,15323-35-0,CASRN_15323-35-0,DTXSID9051743,47167,"InChI=1/C17H24O/c1-10-8-14-15(9-13(10)11(2)18)17(6,7)12(3)16(14,4)5/h8-9,12H,1-7H3
",VDBHOHJWUDKDRW-UHFFFAOYSA-N,CC1C(C)(C)C2=C(C=C(C(C)=O)C(C)=C2)C1(C)C,1.941163453454506,mg/L,OPERA 2.7,1,n/a,n/a
ID_0508,Zonisamide,68291-97-4,CASRN_68291-97-4,DTXSID9046023,11967800,"InChI=1S/C8H8N2O3S/c9-14(11,12)5-7-6-3-1-2-4-8(6)13-10-7/h1-4H,5H2,(H2,9,11,12)
",UBQNRHZMVUUOMG-UHFFFAOYSA-N,NS(=O)(=O)CC1=NOC2=C1C=CC=C2,9263.7389918008,mg/L,OPERA 2.7,1,n/a,n/a
ID_0509,Croconazole,77175-51-0,CASRN_77175-51-0,DTXSID6058475,2880,"InChI=1S/C18H15ClN2O/c1-14(21-10-9-20-13-21)17-7-2-3-8-18(17)22-12-15-5-4-6-16(19)11-15/h2-11,13H,1,12H2
",WHPAGCJNPTUGGD-UHFFFAOYSA-N,ClC1=CC(COC2=CC=CC=C2C(=C)N2C=CN=C2)=CC=C1,303.705783528647,mg/L,OPERA 2.7,1,n/a,n/a
ID_0510,1-(1-benzofuran-6-yl)propan-2-amine | 6-APB,286834-85-3,CASRN_286834-85-3,DTXSID401010105,9794343,"InChI=1/C11H13NO/c1-8(12)6-9-2-3-10-4-5-13-11(10)7-9/h2-5,7-8H,6,12H2,1H3
",FQDAMYLMQQKPRX-UHFFFAOYSA-N,CC(N)CC1=CC2=C(C=CO2)C=C1,782.728125362054,mg/L,OPERA 2.7,1,n/a,n/a
ID_0511,Etryptamine,2235-90-7,CASRN_2235-90-7,DTXSID1046764,8367,"InChI=1/C12H16N2/c1-2-10(13)7-9-8-14-12-6-4-3-5-11(9)12/h3-6,8,10,14H,2,7,13H2,1H3
",ZXUMUPVQYAFTLF-UHFFFAOYSA-N,CCC(N)CC1=CNC2=CC=CC=C12,506.7460236745363,mg/L,OPERA 2.7,1,n/a,n/a
ID_0512,Gramine,87-52-5,CASRN_87-52-5,DTXSID3058955,6890,"InChI=1S/C11H14N2/c1-13(2)8-9-7-12-11-6-4-3-5-10(9)11/h3-7,12H,8H2,1-2H3
",OCDGBSUVYYVKQZ-UHFFFAOYSA-N,CN(C)CC1=CNC2=CC=CC=C12,22970.228192323822,mg/L,OPERA 2.7,1,n/a,n/a
ID_0513,1-(1H-Indol-3-yl)propan-2-amine,299-26-3,CASRN_299-26-3,DTXSID00861850,9287,"InChI=1/C11H14N2/c1-8(12)6-9-7-13-11-5-3-2-4-10(9)11/h2-5,7-8,13H,6,12H2,1H3
",QSQQQURBVYWZKJ-UHFFFAOYSA-N,CC(N)CC1=CNC2=CC=CC=C12,2461.3042953788104,mg/L,OPERA 2.7,1,n/a,n/a
ID_0514,1-(1H-Indol-5-yl)propan-2-amine,3784-30-3,CASRN_3784-30-3,DTXSID30873562,55253543,"InChI=1/C11H14N2/c1-8(12)6-9-2-3-11-10(7-9)4-5-13-11/h2-5,7-8,13H,6,12H2,1H3
",AULGMISRJWGTBA-UHFFFAOYSA-N,CC(N)CC1=CC2=C(NC=C2)C=C1,3812.108996883378,mg/L,OPERA 2.7,1,n/a,n/a
ID_0515,Phencyclidine,77-10-1,CASRN_77-10-1,DTXSID6023446,6468,"InChI=1S/C17H25N/c1-4-10-16(11-5-1)17(12-6-2-7-13-17)18-14-8-3-9-15-18/h1,4-5,10-11H,2-3,6-9,12-15H2
",JTJMJGYZQZDUJJ-UHFFFAOYSA-N,C1CCN(CC1)C1(CCCCC1)C1=CC=CC=C1,946.912540207379,mg/L,OPERA 2.7,1,n/a,n/a
ID_0516,1-(1-Phenyl-2-pentanyl)pyrrolidine,493-92-5,CASRN_493-92-5,DTXSID70862031,14592,"InChI=1/C15H23N/c1-2-8-15(16-11-6-7-12-16)13-14-9-4-3-5-10-14/h3-5,9-10,15H,2,6-8,11-13H2,1H3
",OJCPSBCUMRIPFL-UHFFFAOYSA-N,CCCC(CC1=CC=CC=C1)N1CCCC1,146.9506911992996,mg/L,OPERA 2.7,1,n/a,n/a
ID_0517,"2,3,4-TRIMEO AMPHETAMINE | TMA",1082-23-1,CASRN_1082-23-1,DTXSID60874365,31012,"InChI=1/C12H19NO3/c1-8(13)7-9-5-6-10(14-2)12(16-4)11(9)15-3/h5-6,8H,7,13H2,1-4H3
",LWDQPPLPHGXYLG-UHFFFAOYSA-N,COC1=C(OC)C(OC)=C(CC(C)N)C=C1,540.4282706600628,mg/L,OPERA 2.7,1,n/a,n/a
ID_0518,ISO E Super,54464-57-2,CASRN_54464-57-2,DTXSID7031290,108242,"InChI=1/C16H26O/c1-11-9-13-7-6-8-15(3,4)14(13)10-16(11,5)12(2)17/h11H,6-10H2,1-5H3
",FVUGZKDGWGKCFE-UHFFFAOYSA-N,CC1CC2=C(CC1(C)C(C)=O)C(C)(C)CCC2,13.487333883289478,mg/L,OPERA 2.7,1,n/a,n/a
ID_0519,Pyrifenox,88283-41-4,CASRN_88283-41-4,DTXSID2042359,55790,"InChI=1S/C14H12Cl2N2O/c1-19-18-14(7-10-3-2-6-17-9-10)12-5-4-11(15)8-13(12)16/h2-6,8-9H,7H2,1H3
",CKPCAYZTYMHQEX-UHFFFAOYSA-N,CON=C(CC1=CC=CN=C1)C1=C(Cl)C=C(Cl)C=C1,213.824517975734,mg/L,OPERA 2.7,1,n/a,n/a
ID_0520,"dl-2,5-Dimethoxy-4-methylamphetamine",15588-95-1,CASRN_15588-95-1,DTXSID50860611,85875,"InChI=1/C12H19NO2/c1-8-5-12(15-4)10(6-9(2)13)7-11(8)14-3/h5,7,9H,6,13H2,1-4H3
",NTJQREUGJKIARY-UHFFFAOYSA-N,COC1=CC(CC(C)N)=C(OC)C=C1C,437.2666979303109,mg/L,OPERA 2.7,1,n/a,n/a
ID_0521,"(+/-) -1-(2,5-Dimethoxyphenyl)-2-aminopropane",2801-68-5,CASRN_2801-68-5,DTXSID2091540,62787,"InChI=1/C11H17NO2/c1-8(12)6-9-7-10(13-2)4-5-11(9)14-3/h4-5,7-8H,6,12H2,1-3H3
",LATVFYDIBMDBSY-UHFFFAOYSA-N,COC1=CC=C(OC)C(CC(C)N)=C1,447.31939961474075,mg/L,OPERA 2.7,1,n/a,n/a
ID_0522,"1-(2,6,6-Trimethyl-1-cyclohexen-1-yl)pent-1-en-3-one",127-43-5,CASRN_127-43-5,DTXSID6051643,61072,"InChI=1S/C14H22O/c1-5-12(15)8-9-13-11(2)7-6-10-14(13,3)4/h8-9H,5-7,10H2,1-4H3
",LMWNGLDCJDIIBR-UHFFFAOYSA-N,CCC(=O)C=CC1=C(C)CCCC1(C)C,221.08550673037,mg/L,OPERA 2.7,1,n/a,n/a
ID_0523,Mexiletine,31828-71-4,CASRN_31828-71-4,DTXSID8048446,4178,"InChI=1/C11H17NO/c1-8-5-4-6-9(2)11(8)13-7-10(3)12/h4-6,10H,7,12H2,1-3H3
",VLPIATFUUWWMKC-UHFFFAOYSA-N,CC(N)COC1=C(C)C=CC=C1C,259.1138696232273,mg/L,OPERA 2.7,1,n/a,n/a
ID_0524,Flibanserin,167933-07-5,CASRN_167933-07-5,DTXSID30168445,127941,"InChI=1S/C20H21F3N4O/c21-20(22,23)15-5-7-16(8-6-15)26-12-9-25(10-13-26)11-14-27-18-4-2-1-3-17(18)24-19(27)28/h1-8H,9-14H2,(H,24,28)
",CCIZQGRSEAHATK-UHFFFAOYSA-N,FC(F)(F)C1=CC=C(C=C1)N1CCN(CCN2C(=O)NC3=CC=CC=C23)CC1,17.438974121165767,mg/L,OPERA 2.7,1,n/a,n/a
ID_0525,Sertindole,106516-24-9,CASRN_106516-24-9,DTXSID6048967,60149,"InChI=1S/C24H26ClFN4O/c25-18-1-6-23-21(15-18)22(16-30(23)20-4-2-19(26)3-5-20)17-7-10-28(11-8-17)13-14-29-12-9-27-24(29)31/h1-6,15-17H,7-14H2,(H,27,31)
",GZKLJWGUPQBVJQ-UHFFFAOYSA-N,FC1=CC=C(C=C1)N1C=C(C2CCN(CCN3CCNC3=O)CC2)C2=C1C=CC(Cl)=C2,8.597839762633102,mg/L,OPERA 2.7,1,n/a,n/a
ID_0526,Clorprenaline,3811-25-4,CASRN_3811-25-4,DTXSID3048316,2810,"InChI=1/C11H16ClNO/c1-8(2)13-7-11(14)9-5-3-4-6-10(9)12/h3-6,8,11,13-14H,7H2,1-2H3
",SSMSBSWKLKKXGG-UHFFFAOYSA-N,CC(C)NCC(O)C1=C(Cl)C=CC=C1,2397.8656386887264,mg/L,OPERA 2.7,1,n/a,n/a
ID_0527,1-(2-Chlorophenyl)piperazine,39512-50-0,CASRN_39512-50-0,DTXSID2057734,415628,"InChI=1S/C10H13ClN2/c11-9-3-1-2-4-10(9)13-7-5-12-6-8-13/h1-4,12H,5-8H2
",PWZDJIUQHUGFRJ-UHFFFAOYSA-N,ClC1=C(C=CC=C1)N1CCNCC1,2206.785895921102,mg/L,OPERA 2.7,1,n/a,n/a
ID_0528,(RS)-1-(2-Fluorophenyl)-N-methylpropan-2-amine,1017176-48-5,CASRN_1017176-48-5,DTXSID90640530,24257263,"InChI=1/C10H14FN/c1-8(12-2)7-9-5-3-4-6-10(9)11/h3-6,8,12H,7H2,1-2H3
",XNWIKJYFOIDUGD-UHFFFAOYSA-N,CNC(C)CC1=CC=CC=C1F,877.6197715518877,mg/L,OPERA 2.7,1,n/a,n/a
ID_0529,1-(2-Fluorophenyl)propan-2-amine,1716-60-5,CASRN_1716-60-5,DTXSID30938009,121531,"InChI=1/C9H12FN/c1-7(11)6-8-4-2-3-5-9(8)10/h2-5,7H,6,11H2,1H3
",GDSXNLDTQFFIEU-UHFFFAOYSA-N,CC(N)CC1=CC=CC=C1F,4123.431319616034,mg/L,OPERA 2.7,1,n/a,n/a
ID_0530,"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one | Ethylone",1112937-64-0,CASRN_1112937-64-0,DTXSID20894842,57252245,"InChI=1/C12H15NO3/c1-3-13-8(2)12(14)9-4-5-10-11(6-9)16-7-15-10/h4-6,8,13H,3,7H2,1-2H3
",MJEMIOXXNCZZFK-UHFFFAOYSA-N,CCNC(C)C(=O)C1=CC2=C(OCO2)C=C1,1011.3350448142884,mg/L,OPERA 2.7,1,n/a,n/a
ID_0532,"3,4-Methylenedioxyethamphetamine | MDEA",82801-81-8,CASRN_82801-81-8,DTXSID70860971,105039,"InChI=1/C12H17NO2/c1-3-13-9(2)6-10-4-5-11-12(7-10)15-8-14-11/h4-5,7,9,13H,3,6,8H2,1-2H3
",PVXVWWANJIWJOO-UHFFFAOYSA-N,CCNC(C)CC1=CC=C2OCOC2=C1,193.4384186890948,mg/L,OPERA 2.7,1,n/a,n/a
ID_0533,Methylendioxymethamphetamine | MDMA,42542-10-9,CASRN_42542-10-9,DTXSID90860791,1615,"InChI=1/C11H15NO2/c1-8(12-2)5-9-3-4-10-11(6-9)14-7-13-10/h3-4,6,8,12H,5,7H2,1-2H3
",SHXWCVYOXRDMCX-UHFFFAOYSA-N,CNC(C)CC1=CC2=C(OCO2)C=C1,2218.7609473978664,mg/L,OPERA 2.7,1,n/a,n/a
ID_0534,"3,4-Methylendioxyamphetamine | MDA",4764-17-4,CASRN_4764-17-4,DTXSID40859958,1614,"InChI=1/C10H13NO2/c1-7(11)4-8-2-3-9-10(5-8)13-6-12-9/h2-3,5,7H,4,6,11H2,1H3
",NGBBVGZWCFBOGO-UHFFFAOYSA-N,CC(N)CC1=CC=C2OCOC2=C1,2650.843262191179,mg/L,OPERA 2.7,1,n/a,n/a
ID_0535,"4-Hydroxy-1-(2-hydroxyethyl)-2,2,6,6-tetramethylpiperidine",52722-86-8,CASRN_52722-86-8,DTXSID4068795,104301,"InChI=1S/C11H23NO2/c1-10(2)7-9(14)8-11(3,4)12(10)5-6-13/h9,13-14H,5-8H2,1-4H3
",STEYNUVPFMIUOY-UHFFFAOYSA-N,CC1(C)CC(O)CC(C)(C)N1CCO,187873.42329344223,mg/L,OPERA 2.7,1,n/a,n/a
ID_0536,Methoxyphenamine,93-30-1,CASRN_93-30-1,DTXSID0023292,4117,"InChI=1/C11H17NO/c1-9(12-2)8-10-6-4-5-7-11(10)13-3/h4-7,9,12H,8H2,1-3H3
",OEHAYUOVELTAPG-UHFFFAOYSA-N,CNC(C)CC1=CC=CC=C1OC,8984.432706172569,mg/L,OPERA 2.7,1,n/a,n/a
ID_0537,Fenpiprane,3540-95-2,CASRN_3540-95-2,DTXSID10188883,197785,"InChI=1S/C20H25N/c1-4-10-18(11-5-1)20(19-12-6-2-7-13-19)14-17-21-15-8-3-9-16-21/h1-2,4-7,10-13,20H,3,8-9,14-17H2
",JXJPYHDHJZJWRI-UHFFFAOYSA-N,C(CN1CCCCC1)C(C1=CC=CC=C1)C1=CC=CC=C1,2.119670560576797,mg/L,OPERA 2.7,1,n/a,n/a
ID_0538,"3,4-Dimethoxyamphetamine",120-26-3,CASRN_120-26-3,DTXSID50902787,8423,"InChI=1/C11H17NO2/c1-8(12)6-9-4-5-10(13-2)11(7-9)14-3/h4-5,7-8H,6,12H2,1-3H3
",KAZPHAGSWZTKDW-UHFFFAOYSA-N,COC1=C(OC)C=C(CC(C)N)C=C1,447.31939961474075,mg/L,OPERA 2.7,1,n/a,n/a
ID_0539,Tonalide,21145-77-7,CASRN_21145-77-7,DTXSID7041544,89440,"InChI=1/C18H26O/c1-11-8-16-15(9-14(11)13(3)19)17(4,5)10-12(2)18(16,6)7/h8-9,12H,10H2,1-7H3
",DNRJTBAOUJJKDY-UHFFFAOYSA-N,CC1CC(C)(C)C2=C(C=C(C)C(=C2)C(C)=O)C1(C)C,1.2656129581890343,mg/L,OPERA 2.7,1,n/a,n/a
ID_0540,3-Aminoacetophenone,99-03-6,CASRN_99-03-6,DTXSID0021830,7417,"InChI=1S/C8H9NO/c1-6(10)7-3-2-4-8(9)5-7/h2-5H,9H2,1H3
",CKQHAYFOPRIUOM-UHFFFAOYSA-N,CC(=O)C1=CC=CC(N)=C1,6932.142182857681,mg/L,OPERA 2.7,1,n/a,n/a
ID_0541,1-(3-Chlorophenyl)piperazine,6640-24-0,CASRN_6640-24-0,DTXSID9045138,1355,"InChI=1S/C10H13ClN2/c11-9-2-1-3-10(8-9)13-6-4-12-5-7-13/h1-3,8,12H,4-7H2
",VHFVKMTVMIZMIK-UHFFFAOYSA-N,ClC1=CC(=CC=C1)N1CCNCC1,2206.785895921102,mg/L,OPERA 2.7,1,n/a,n/a
ID_0542,3'-Chloropropiophenone,34841-35-5,CASRN_34841-35-5,DTXSID1049277,587128,"InChI=1S/C9H9ClO/c1-2-9(11)7-4-3-5-8(10)6-7/h3-6H,2H2,1H3
",PQWGFUFROKIJBO-UHFFFAOYSA-N,CCC(=O)C1=CC(Cl)=CC=C1,719.2983846032455,mg/L,OPERA 2.7,1,n/a,n/a
ID_0543,Piritramide,302-41-0,CASRN_302-41-0,DTXSID00184293,9331,"InChI=1S/C27H34N4O/c28-22-26(23-10-4-1-5-11-23,24-12-6-2-7-13-24)14-19-30-20-15-27(16-21-30,25(29)32)31-17-8-3-9-18-31/h1-2,4-7,10-13H,3,8-9,14-21H2,(H2,29,32)
",IHEHEFLXQFOQJO-UHFFFAOYSA-N,NC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)N1CCCCC1,10.329278595981163,mg/L,OPERA 2.7,1,n/a,n/a
ID_0544,1-(3-Fluorophenyl)-N-methylpropan-2-amine,1182818-14-9,CASRN_1182818-14-9,DTXSID20728951,58216164,"InChI=1/C10H14FN/c1-8(12-2)6-9-4-3-5-10(11)7-9/h3-5,7-8,12H,6H2,1-2H3
",RRVAUTPWWWFYQT-UHFFFAOYSA-N,CNC(C)CC1=CC(F)=CC=C1,877.6197715518877,mg/L,OPERA 2.7,1,n/a,n/a
ID_0545,N-Demethyltramadol,73806-55-0,CASRN_73806-55-0,DTXSID50891485,198555,"InChI=1/C15H23NO2/c1-16-11-13-6-3-4-9-15(13,17)12-7-5-8-14(10-12)18-2/h5,7-8,10,13,16-17H,3-4,6,9,11H2,1-2H3
",VUMQHLSPUAFKKK-UHFFFAOYSA-N,CNCC1CCCCC1(O)C1=CC=CC(OC)=C1,1088.4696883241438,mg/L,OPERA 2.7,1,n/a,n/a
ID_0546,Clenbuterol,37148-27-9,CASRN_37148-27-9,DTXSID7022833,2783,"InChI=1/C12H18Cl2N2O/c1-12(2,3)16-6-10(17)7-4-8(13)11(15)9(14)5-7/h4-5,10,16-17H,6,15H2,1-3H3
",STJMRWALKKWQGH-UHFFFAOYSA-N,CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,112.92173920452196,mg/L,OPERA 2.7,1,n/a,n/a
ID_0547,Brolamfetamine,64638-07-9,CASRN_64638-07-9,DTXSID5050428,62065,"InChI=1/C11H16BrNO2/c1-7(13)4-8-5-11(15-3)9(12)6-10(8)14-2/h5-7H,4,13H2,1-3H3
",FXMWUTGUCAKGQL-UHFFFAOYSA-N,COC1=CC(Br)=C(OC)C=C1CC(C)N,189.67099532519373,mg/L,OPERA 2.7,1,n/a,n/a
ID_0548,Climbazole,38083-17-9,CASRN_38083-17-9,DTXSID6046555,37907,"InChI=1/C15H17ClN2O2/c1-15(2,3)13(19)14(18-9-8-17-10-18)20-12-6-4-11(16)5-7-12/h4-10,14H,1-3H3
",OWEGWHBOCFMBLP-UHFFFAOYSA-N,CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=CN=C1,32.848212268144266,mg/L,OPERA 2.7,1,n/a,n/a
ID_0549,Triadimenol,55219-65-3,CASRN_55219-65-3,DTXSID0032493,41368,"InChI=1/C14H18ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,12-13,19H,1-3H3
",BAZVSMNPJJMILC-UHFFFAOYSA-N,CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1,93.53068635480015,mg/L,OPERA 2.7,1,n/a,n/a
ID_0550,Clobutinol,14860-49-2,CASRN_14860-49-2,DTXSID2022838,26937,"InChI=1/C14H22ClNO/c1-11(10-16(3)4)14(2,17)9-12-5-7-13(15)8-6-12/h5-8,11,17H,9-10H2,1-4H3
",KVHHQGIIZCJATJ-UHFFFAOYSA-N,CC(CN(C)C)C(C)(O)CC1=CC=C(Cl)C=C1,54.6869322873776,mg/L,OPERA 2.7,1,n/a,n/a
