ID,chemical_name,DTXSID,parent_or_TP,TP_of,use_group,use_group_details,additional_use_info,target_taxa,MoA_broad,MoA_specific,molecular_target,further_MoA_info,nontarget_taxa,nontarget_taxa_alert,source,MoA_comment,date_of_retrieval,PubChem_CID,InChIKey,comment_compound
ID_0630,Nonachlor,DTXSID8042214,parent,n/a,Pesticide,I,obsolete,insects,Neuroactive,GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,n/a,n/a,"PPDB, wikipedia, pubchem","insecticide chlordane is a mixture composed of trans-chlordane, cis-chlordane, trans-nonachlor, cis-nonachlor and man other components",7/23/2022,19520,OCHOKXCPKDPNQU-UHFFFAOYSA-N,n/a
ID_0631,"1,2,3,4,5,6,7-Heptachloronaphthalene",DTXSID10871440,parent,n/a,Industrial Chemical,IC,used as cable insulation/wood preservation/engine oil additives/electroplating masking compounds/capacitors/dye production in the past,n/a,unknown,n/a,n/a,"some of the biochemical (e.g., drug metabolizing enzyme induction, hormonal changes) and toxic (e.g., skin disorders, weight loss, hepatotoxicity, reproductive toxicity) responses of PCNs are believed to be mediated via the cytosolic Ah receptor",n/a,toxicant,Concise International Chemical Assessment Document 34 on chlorinated naphthalenes (WHO 2001),info about chlorinated naphthalenes in general,3/19/2022,107818,NDZIBNJHNBUHKW-UHFFFAOYSA-N,n/a
ID_0632,"1,2,3,4,5,6-Hexachlorocyclohexane | all isomers",DTXSID7020687,parent,n/a,Pesticide,I/A,"obsolete, veterinary substance, Rodenticide",insects,Neuroactive,GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,mammals,potential carcinogen and neurotoxicant,"PPDB, wikipedia",n/a,7/23/2022,727,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,n/a
ID_0633,"2,3,3',4,4',5,5',6-Octabromodiphenyl ether | BDE 205",DTXSID4074776,parent,n/a,Industrial Chemical,IC Flame retardant,n/a,n/a,unknown,n/a,n/a,estrogenic activity in vitro,n/a,potential endocrine effects,Nakari and Pessala 2005 (doi: 10.1016/j.aquatox.2005.06.004),n/a,2/20/2022,16212145,CVMKCYDBEYHNBM-UHFFFAOYSA-N,n/a
ID_0634,"2,3,4,5,6-Pentabromoethylbenzene",DTXSID7021782,parent,n/a,Industrial Chemical,IC Flame retardant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,3/14/2022,6800,FIAXCDIQXHJNIX-UHFFFAOYSA-N,n/a
ID_0635,Pentabromotoluene,DTXSID3025833,parent,n/a,Industrial Chemical,IC Flame retardant,n/a,n/a,unknown,n/a,n/a,n/a,vertebrates,potential interference with the (neuro) endocrine system,"wikipedia, CPDat, Dong et al. 2021 (doi: 10.1016/j.ecoenv.2020.111570)",n/a,12/22/2022,6906,OZHJEQVYCBTHJT-UHFFFAOYSA-N,n/a
ID_0636,Pentachloroanisole,DTXSID2021103,TP,Pentachlorophenol,"Biocide, Pesticide",TP F/I/H/B,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"PPDB, pubchem",n/a,7/23/2022,15767,BBABSCYTNHOKOG-UHFFFAOYSA-N,n/a
ID_0637,Pentachloronitrobenzene,DTXSID2021105,parent,n/a,Pesticide,F,n/a,fungi,Lipid metabolism,Lipid peroxidation inhibition,n/a,n/a,n/a,n/a,"PPDB, IARC/3/1987",n/a,1/21/2022,6720,LKPLKUMXSAEKID-UHFFFAOYSA-N,n/a
ID_0638,Pentachlorobenzene,DTXSID7024247,parent,n/a,Industrial Chemical,IC,was used as flame tetardant and in production of pesticides,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,12/19/2021,11855,CEOCDNVZRAIOQZ-UHFFFAOYSA-N,n/a
ID_0639,"1,2,3,4-Tetrachloronaphthalene",DTXSID5026095,parent,n/a,Industrial Chemical,IC,used as cable insulation/wood preservation/engine oil additives/electroplating masking compounds/capacitors/dye production in the past,n/a,unknown,n/a,n/a,"some of the biochemical (e.g., drug metabolizing enzyme induction, hormonal changes) and toxic (e.g., skin disorders, weight loss, hepatotoxicity, reproductive toxicity) responses of PCNs are believed to be mediated via the cytosolic Ah receptor",n/a,toxicant,Concise International Chemical Assessment Document 34 on chlorinated naphthalenes (WHO 2001),info about chlorinated naphthalenes in general,3/19/2022,29910,NAQWICRLNQSPPW-UHFFFAOYSA-N,Related compound of mixture
ID_0640,Tacrine,DTXSID1037272,parent,n/a,Pharmaceutical,Ph Psychotropic,treatment of Alzheimer's disease,humans,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,n/a,n/a,drugbank,n/a,7/10/2022,1935,YLJREFDVOIBQDA-UHFFFAOYSA-N,n/a
ID_0641,"2,2',3,4,4',5',6-Heptabromodiphenyl ether | BDE-183",DTXSID8052693,parent,n/a,Industrial Chemical,IC Flame retardant,n/a,n/a,unknown,n/a,n/a,n/a,mammals,inducing neurodevelopmental effects in rodents,"CPDat, Martin et al. 2017 (doi: 10.1289/EHP826)",n/a,1/21/2022,15509899,ILPSCQCLBHQUEM-UHFFFAOYSA-N,n/a
ID_0642,"D,L-Anatabine",DTXSID30294036,parent,n/a,Industrial Chemical,IC,used as an indicator of tobacco use,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"pubchem, Jacob et al. 2002",n/a,7/20/2022,261474,SOPPBXUYQGUQHE-UHFFFAOYSA-N,n/a
ID_0643,"1,2,3-Trichlorobenzene",DTXSID8026193,parent,n/a,"Industrial Chemical, Pesticide",IC Intermediate/Solvent + H,n/a,plants,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,3/15/2022,6895,RELMFMZEBKVZJC-UHFFFAOYSA-N,n/a
ID_0644,"1,2,3-Trichloronaphthalene",DTXSID80198454,parent,n/a,Industrial Chemical,IC,used as cable insulation/wood preservation/engine oil additives/electroplating masking compounds/capacitors/dye production in the past,n/a,unknown,n/a,n/a,"some of the biochemical (e.g., drug metabolizing enzyme induction, hormonal changes) and toxic (e.g., skin disorders, weight loss, hepatotoxicity, reproductive toxicity) responses of PCNs are believed to be mediated via the cytosolic Ah receptor",n/a,toxicant,Concise International Chemical Assessment Document 34 on chlorinated naphthalenes (WHO 2001),info about chlorinated naphthalenes in general,3/19/2022,524223,QEPTXDCPBXMWJC-UHFFFAOYSA-N,Related compound of mixture
ID_0645,"1,2,3-Trimethylbenzene",DTXSID8047769,parent,n/a,Industrial Chemical,IC Solvent/UV stabilizer/Fuel additive,intermediate in production of fragrances,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,3/15/2022,10686,FYGHSUNMUKGBRK-UHFFFAOYSA-N,n/a
ID_0646,"1,2,4,5-Tetrachlorobenzene",DTXSID7024320,parent,n/a,Industrial Chemical,IC Intermediate,intermediate for herbicides/insecticides,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,1/21/2022,7270,JHBKHLUZVFWLAG-UHFFFAOYSA-N,n/a
ID_0647,"2,2',4,4',5-Pentabromodiphenyl ether | BDE-99",DTXSID9030048,parent,n/a,Industrial Chemical,IC Flame retardant,n/a,n/a,unknown,n/a,n/a,n/a,fish,potential developmental neurotoxicity,"CPDat, Glazer et al. 2018 (doi: 10.1016/j.neuro.2017.09.007)",n/a,12/22/2022,36159,WHPVYXDFIXRKLN-UHFFFAOYSA-N,n/a
ID_0648,Tetradifon,DTXSID7021316,parent,n/a,Pesticide,I/A,n/a,insects,"Respiratory system, ATP inhibition",Mitochondrial ATP synthase inhibition,Mitchondrial ATP synthase,inhibiting oxidative phosphorylation,n/a,n/a,"IRAC, PPDB",n/a,7/10/2022,8305,MLGCXEBRWGEOQX-UHFFFAOYSA-N,n/a
ID_0649,"1,2,4-Trichlorobenzene",DTXSID0021965,parent,n/a,Industrial Chemical,IC Solvent/Colorant,precursor to dyes and pesticides,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat",n/a,1/21/2022,13,PBKONEOXTCPAFI-UHFFFAOYSA-N,n/a
ID_0650,"1,2,4-Trimethylbenzene",DTXSID6021402,parent,n/a,Industrial Chemical,IC Solvent/Fuel additive/Fragrance/Sterilizing agent,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat",n/a,3/15/2022,7247,GWHJZXXIDMPWGX-UHFFFAOYSA-N,n/a
ID_0651,"1,2,5,6,9,10-Hexabromocyclododecane",DTXSID4027527,parent,n/a,Industrial Chemical,IC Flame retardant,n/a,n/a,unknown,n/a,n/a,n/a,mammals,potential endocrine and developmental effects,"wikipedia, CPDat, Saegusa et al. 2009 (doi: 10.1016/j.reprotox.2009.06.011)",n/a,12/22/2022,18529,DEIGXXQKDWULML-UHFFFAOYSA-N,n/a
ID_0652,"1,2-Benzisothiazolin-3-one",DTXSID5032523,parent,n/a,"Industrial Chemical, Biocide",IC Preservative + B,"disinfectant, adhesive, fragrance","bacteria, fungi",unknown,n/a,n/a,n/a,n/a,n/a,CPDat,n/a,10/18/2021,17520,DMSMPAJRVJJAGA-UHFFFAOYSA-N,n/a
ID_0653,Naled,DTXSID1024209,parent,n/a,Pesticide,I/A,n/a,insects,Neuromuscular system,AChE inhibition,Acetylcholinesterase (AChE),n/a,"birds, mammals, aquatic invertebrates","potential reproduction/development effects, acetyl cholinesterase inhibitor and neurotoxicant in humans","PPDB, IRAC, wikipedia",n/a,2/22/2022,4420,BUYMVQAILCEWRR-UHFFFAOYSA-N,n/a
ID_0654,"1,2-Dibromoethane",DTXSID3020415,parent,n/a,Industrial Chemical,IC,"Production of pesticides, pharmaceuticals, colorants/additive to leaded gasoline/insecticide in the past",insects,Neuroactive,n/a,n/a,n/a,humans,"Probably carcinogenic, may affect human fertility/reproduction","wikipedia, PPDB, IARC/2A/1999",n/a,3/15/2022,7839,PAAZPARNPHGIKF-UHFFFAOYSA-N,n/a
ID_0655,"1,2-Dichlorobenzene",DTXSID6020430,parent,n/a,Industrial Chemical,IC Solvent/Intermediate,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat, IARC/3/1999",n/a,1/21/2022,7239,RFFLAFLAYFXFSW-UHFFFAOYSA-N,n/a
ID_0656,"1,2-Dichloroethane",DTXSID6020438,parent,n/a,Industrial Chemical,IC Solvent,production of vinyl chloride,n/a,unknown,n/a,n/a,"weak direct mutagenic effect, reactive metabolites bind covalently to cellular macromolecules",humans,Possibly carcinogenic,"wikipedia, CPDat, T3DB, IARC/2B/1999",n/a,10/22/2022,11,WSLDOOZREJYCGB-UHFFFAOYSA-N,n/a
ID_0657,"1,2-Dichloroethylene",DTXSID8024991,parent,n/a,Industrial Chemical,IC Solvent,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,3/14/2022,10900,KFUSEUYYWQURPO-UHFFFAOYSA-N,n/a
ID_0658,"1,2-Dichloropropane",DTXSID0020448,parent,n/a,"Industrial Chemical, Pesticide",IC Solvent/Additive,"pesticide use considered obsolete (soil fumigant, I, nematicide)",n/a,Cancerogen,n/a,n/a,n/a,humans,potential endocrine disruptor and reproduction/development effects in humans,"wikipedia, PPDB, IARC/1/2017",n/a,3/15/2022,6564,KNKRKFALVUDBJE-UHFFFAOYSA-N,n/a
ID_0659,Acenaphthene,DTXSID3021774,parent,n/a,Industrial Chemical,IC Combustion product,"manufacturing of plastics/pesticides/pharmaceuticals/dyes, polycyclic aromatic hydrocarbons (PAH)",n/a,unknown,n/a,n/a,poor AhR agonist,n/a,n/a,"wikipedia, pubchem, IARC/3/2010, Murahashi et al. 2007 (doi: 10.1248/jhs.53.715)",n/a,12/19/2021,6734,CWRYPZZKDGJXCA-UHFFFAOYSA-N,n/a
ID_0660,Maleic hydrazide,DTXSID9020792,parent,n/a,Pesticide,H,plant growth regulator,plants,Mitosis/Cell cycle,Cell division inhibition,n/a,Enhances chlorophyll production,mammals,potential neurotoxicant for humans,"PPDB, wikipedia, IARC/3/1987",n/a,2/22/2022,21954,BGRDGMRNKXEXQD-UHFFFAOYSA-N,n/a
ID_0661,Alizarin,DTXSID5045960,parent,n/a,"Natural, Industrial Chemical",IC Colorant,n/a,n/a,Chelator,Biofilm formation inhibition,Ca2+,n/a,n/a,n/a,"wikipedia, CPDat, Lee et al. 2016 (doi: 10.1038/srep19267)",n/a,2/19/2022,152743313,RGCKGOZRHPZPFP-UHFFFAOYSA-N,n/a
ID_0662,Difenzoquat,DTXSID6043965,parent,n/a,Pesticide,H/F,n/a,"plants, fungi",Cell membrane disruption,Cell membranes destruction,n/a,n/a,n/a,n/a,"PPDB, HRAC",n/a,5/15/2022,39425,LBGPXIPGGRQBJW-UHFFFAOYSA-N,n/a
ID_0663,Dimetridazole,DTXSID5020497,parent,n/a,Pharmaceutical,Ph Antibiotic,veterinary drug: antiprotozoal/antiparasitic agent,"bacteria (in humans, vertebrates)",Antibiotic,Nucleic acid biosynthesis inhibition,DNA,"DNA damage by oxidation, causing single-strand and double-strand breaks that lead to DNA degradation and cell death",n/a,n/a,"wikipedia, Loefmark e al. 2010 (doi: 10.1086/647939)",n/a,11/1/2021,3090,IBXPYPUJPLLOIN-UHFFFAOYSA-N,n/a
ID_2604,Articaine,DTXSID7048536,parent,n/a,Pharmaceutical,Ph Anaesthetic,dental local anaesthetic,humans,Neuroactive,n/a,n/a,Change in membrane permeability,n/a,n/a,"drugbank, wikipedia",n/a,4/20/2022,32170,QTGIAADRBBLJGA-UHFFFAOYSA-N,n/a
ID_0665,o-Xylene,DTXSID3021807,parent,n/a,Industrial Chemical,IC Intermediate/Solvent,production of phthalic anhydride,n/a,unknown,n/a,n/a,n/a,n/a,narcotic effects,"wikipedia, CPDat",n/a,3/15/2022,7237,CTQNGGLPUBDAKN-UHFFFAOYSA-N,n/a
ID_0666,Tetramethylol acetylenediurea,DTXSID8063830,parent,n/a,Biocide,B,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,CPDat,n/a,11/7/2021,79372,UUGLSEIATNSHRI-UHFFFAOYSA-N,n/a
ID_0667,Methenamine,DTXSID6020692,parent,n/a,"Industrial Chemical, Food Additive, Pharmaceutical",Ph Antiseptic/Antibacterial + IC Preservative + FA,"treatment of recurring urinary tract infections, adhesion promoter, component of fuel, explosives",bacteria,Nucleic acid damage,DNA denaturation,DNA,hydrolyzed to formaldehyde (highly bactericidal),n/a,n/a,"drugbank, CPDat, wikipedia",n/a,3/1/2022,4101,VKYKSIONXSXAKP-UHFFFAOYSA-N,n/a
ID_0668,Melamine,DTXSID6020802,parent + TP,Cyromazine,Industrial Chemical,IC Flame retardant + TP I,"used in consumer products (laminates/resins/adhesives/glues/paint pigments/furniture/food packaging), illegal additive in food products",n/a,unknown,Ca2+-sensing receptor activation,Ca2+-sensing receptors,"causes renal tubular cell injury through inflammation, fibrosis and apoptosis. effects the rise in intracellular Ca2+ concentration, reactive oxygen species (ROS) production, pro-apoptotic pathway activation",humans,"Possibly carcinogenic, potential endocrine disruptor, potential neurotoxic properties","CPDat, pubchem, IARC/2B/2019, ECHA/2022, Bolden et al. 2017 (doi: 10.1016/j.toxlet.2017.07.893)",n/a,12/23/2021,135957090,JDSHMPZPIAZGSV-UHFFFAOYSA-N,n/a
ID_0669,Cyanuric acid,DTXSID7024873,parent,n/a,Industrial Chemical,IC,precursor/component of bleaches/disinfectants/herbicides,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat",n/a,1/21/2022,5280957,ZFSLODLOARCGLH-UHFFFAOYSA-N,n/a
ID_0670,"2,2',4,4',5,6'-Hexabromodiphenyl ether | BDE-154",DTXSID3052692,parent,n/a,Industrial Chemical,IC Flame retardant,n/a,n/a,unknown,n/a,n/a,induces mitochondrial damage and apoptotic death of HepG2 cells,n/a,n/a,"CPDat, Souza et al. 2016 (doi: 10.1111/bcpt.12598)",n/a,12/22/2022,15509898,VHNPZYZQKWIWOD-UHFFFAOYSA-N,n/a
ID_0671,"2,2',4,4',6-Pentabromodiphenyl ether | BDE-100",DTXSID4052689,parent,n/a,Industrial Chemical,IC Flame retardant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,potential endocrine disruptor,"CPDat, Gregoraszczuk and Ptak 2013 (doi: 10.1155/2013/828532)",n/a,12/22/2022,154083,NSKIRYMHNFTRLR-UHFFFAOYSA-N,n/a
ID_0672,"1,3,5-Trichlorobenzene",DTXSID8026195,parent,n/a,Industrial Chemical,IC Cooling agent/Solvent/Emulsifier,n/a,n/a,unknown,n/a,n/a,potential uncoupler of mitochondrial oxidative phosphorylation,n/a,n/a,"pubchem, wikipedia, T3DB",n/a,10/22/2022,7950,XKEFYDZQGKAQCN-UHFFFAOYSA-N,n/a
ID_0673,"1,3,5-Trimethylbenzene",DTXSID6026797,parent,n/a,Industrial Chemical,IC Combustion product/Solvent/Fragrance,precursor to colourants,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat",n/a,3/15/2022,7947,AUHZEENZYGFFBQ-UHFFFAOYSA-N,n/a
ID_0674,"1,3,6,8-tetrabromocarbazole",DTXSID30293246,parent,n/a,Industrial Chemical,Environmental contaminant,potential source: Halogenated indigo dyes,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Parette et al. 2015 (doi: 10.1016/j.chemosphere.2015.01.001),n/a,2/25/2022,258744,FNHISDQCWYSMTO-UHFFFAOYSA-N,n/a
ID_0675,Caffeine,DTXSID0020232,parent,n/a,Food Additive,FA Stimulant,n/a,n/a,Neuroactive,"Adenosine receptor antagonist, Phosphodiesterase inhibition","Adenosine receptor A1, A2a, A2b, A3",n/a,n/a,n/a,"drugbank, wikipedia, IARC/3/1991",n/a,3/1/2021,2519,RYYVLZVUVIJVGH-UHFFFAOYSA-N,n/a
ID_0676,2-Aminobenzothiazole,DTXSID1024467,parent,n/a,Industrial Chemical,IC,derivates have potent pharmacological activities,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Dadmal et al. 2018 (doi: 10.1039/c7nj03776g),n/a,2/18/2022,8706,UHGULLIUJBCTEF-UHFFFAOYSA-N,n/a
ID_0677,2-Hydroxybenzothiazole,DTXSID6061315,parent,n/a,Industrial Chemical,IC Pollutant,present in wastewaters from the industrial production of the rubber vulcanization accelerator 2-mercaptobenzothiazole,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Wever et al. 1997 (doi: 10.1007/s002530050956),n/a,3/1/2021,13625,YEDUAINPPJYDJZ-UHFFFAOYSA-N,n/a
ID_0678,Benzothiazole,DTXSID7024586,parent,n/a,"Industrial Chemical, Food Additive",IC Fragrance + FA Flavorant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat",n/a,3/1/2021,7222,IOJUPLGTWVMSFF-UHFFFAOYSA-N,n/a
ID_0679,2-Benzothiazolesulfonic acid,DTXSID80240528,parent + TP,Mercaptobenzothiazole,Industrial Chemical,IC Rubber production,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Neale et al. 2020 (doi: 10.1021/acs.est.0c02235),n/a,3/1/2021,30647,ZCXGMSGCBDSEOY-UHFFFAOYSA-N,n/a
ID_0680,2-Mercaptobenzothiazole,DTXSID1020807,parent + TP,"2-(Methylsulfanyl)-1,3-benzothiazole",Industrial Chemical,IC Vulcanisation accelerator,"radical polymerization inhibitor, chain transfer agent, reforming agent, additive for photoinitiators in polymerisation",n/a,unknown,n/a,n/a,n/a,humans,Probably carcinogenic,"wikipedia, pubchem, CPDat, IARC/2A/2018",n/a,11/7/2021,697993,YXIWHUQXZSMYRE-UHFFFAOYSA-N,n/a
ID_0681,Benzothiazole-6-carboxylic acid,DTXSID80345067,parent,n/a,Industrial Chemical,IC Reagent,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11/21/2021,601670,DMPZJACLHDWUFS-UHFFFAOYSA-N,n/a
ID_0682,"1,3-Dimethylol-5,5-dimethylhydantoin",DTXSID8035217,parent,n/a,"Industrial Chemical, Biocide",IC PC/Preservative + B,n/a,bacteria,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat",n/a,11/3/2021,22947,WSDISUOETYTPRL-UHFFFAOYSA-N,n/a
ID_0683,Sulfochloranthine,DTXSID4024985,parent,n/a,"Industrial Chemical, Biocide",IC Surfactant/Disinfectant + B,n/a,bacteria,Nucleic acid biosynthesis inhibition,RNA synthesis inhibition,n/a,inhibits RNA and to a lesser extent DNA synthethis in bacteria,n/a,n/a,"CPDat, Verbina and Viktorova 1982",n/a,11/8/2021,8360,KEQGZUUPPQEDPF-UHFFFAOYSA-N,n/a
ID_0684,"1,3-Dichloro-5-ethyl-5-methylhydantoin",DTXSID4035839,parent,n/a,Biocide,B,microbiocide,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"CPDat, pubchem",n/a,11/3/2021,62299,OFTZZDZZNXTWFO-UHFFFAOYSA-N,n/a
ID_0685,"1,3-Dichlorobenzene",DTXSID6022056,parent,n/a,Industrial Chemical,IC Solvent,n/a,n/a,unknown,n/a,n/a,n/a,mammals,disturbance in thyroid homoeostasis in rats,"CPDat, IARC/3/1999, T3DB",n/a,10/21/2022,10943,ZPQOPVIELGIULI-UHFFFAOYSA-N,n/a
ID_0686,"1,3-Dichloropropene",DTXSID1022057,parent,n/a,"Biocide, Pesticide",B + I/Nematicide,soil fumigant,"nematodes, bacteria",unknown,n/a,n/a,penetrates into the nematodes via mouth and cuticle,"birds, fish, mammals","potential reproduction/development effects in humans, Possibly carcinogenic","PPDB, IARC/2B/1999",n/a,3/13/2022,24883,UOORRWUZONOOLO-UHFFFAOYSA-N,n/a
ID_0687,2-Oxindole,DTXSID80870389,parent + TP,Indole,Industrial Chemical,IC Hair dye,pharmacological activity,n/a,unknown,n/a,n/a,derivates have potential antitumor activity (tyrosine kinase inhibitors),n/a,n/a,"wikipedia, pubchem",n/a,4/21/2022,321710,JYGFTBXVXVMTGB-UHFFFAOYSA-N,n/a
ID_0688,"9,10-Anthracenedione, 1,3-dihydroxy-",DTXSID6075431,parent,n/a,Natural,Dye,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,2/19/2022,196978,WPWWKBNOXTZDQJ-UHFFFAOYSA-N,n/a
ID_0689,Theophylline,DTXSID5021336,parent,n/a,"Natural, Pharmaceutical",Ph vasodilator,"diuretic, anti-asthmatic, muscle relaxant, antiinflammatory, central nerve system stimulator",humans,"Cardiovascular system, Neuromuscular system","Phosphodiesterase inhibition, Adenosine receptor antagonist, Histone deacetylase activation, Calcium flux and distribution regulation","Adenosine receptor A1, A2a and A2b, Histone deacetylase 2, cAMP and CGMP-specific 3',5'-cyclic phosphodiesterases",n/a,n/a,n/a,"drugbank, wikipedia, pubchem, IARC/3/1991",n/a,3/1/2021,2153,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,n/a
ID_0690,Methsuximide,DTXSID5023293,parent,n/a,Pharmaceutical,Ph Anticonvulsant,n/a,humans,Neuroactive,Calcium channel inhibition,Voltage-dependent T-type calcium channels,n/a,n/a,n/a,drugbank,n/a,2/23/2022,6476,AJXPJJZHWIXJCJ-UHFFFAOYSA-N,n/a
ID_0691,Fenethylline hydrochloride,DTXSID3048869,parent,n/a,"Pharmaceutical, Drug of abuse",Ph Psychotropic,psychostimulant,humans,Neuroactive,n/a,n/a,"codrug of amphetamine and theophylline, acts on monoaminergic systems",n/a,n/a,"wikipedia, Docherty 2008 (doi: 10.1038/bjp.2008.124)",info about Fenethylline,5/19/2022,102710,MVXGSLGVWBVZCA-UHFFFAOYSA-N,n/a
ID_0692,"N,N'-Dimethylimidazolidinone",DTXSID1073153,parent,n/a,Industrial Chemical,IC Solvent/PC/Humectant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat",n/a,2/22/2022,6661,CYSGHNMQYZDMIA-UHFFFAOYSA-N,n/a
ID_0693,"1,3-Dinitrobenzene",DTXSID9024065,parent,n/a,Industrial Chemical,IC Intermediate,"synthesis of dyes, explosives",n/a,unknown,n/a,n/a,n/a,n/a,n/a,"pubchem, T3DB",n/a,10/22/2022,7452,WDCYWAQPCXBPJA-UHFFFAOYSA-N,n/a
ID_0694,"1,3-Dinitropyrene",DTXSID5074975,parent,n/a,Industrial Chemical,IC Combustion product,fuel combustion compound,n/a,Nucleic acid damage,n/a,n/a,n/a,vertebrates,"Possibly carcinogenic, mutagenic","Kuo and Chen 2000 (doi: 10.1016/S0021-9673(00)00809-8), IARC/2B/2014",n/a,2/19/2022,53230,KTNUVDBUEAQUON-UHFFFAOYSA-N,n/a
ID_0695,Oxazolidine,DTXSID50198446,parent,n/a,Industrial Chemical,IC,derivates used as biocides,"fungi, bacteria",unknown,n/a,n/a,n/a,n/a,n/a,wikipedia,n/a,11/3/2021,536683,WYNCHZVNFNFDNH-UHFFFAOYSA-N,n/a
ID_0696,Heptachlor,DTXSID3020679,parent,n/a,Pesticide,I,obsolete,insects,Neuroactive,GABA-gated chloride channel antagonist,GABA-gated chloride channels,n/a,"mammals, fish, aquatic invertebrates","Possibly carcinogenic, potential endocrine disruptor, reproduction/development effects and neurotoxicant","PPDB, wikipedia, IARC/2B/2001",n/a,11/17/2021,3589,FRCCEHPWNOQAEU-UHFFFAOYSA-N,n/a
ID_0697,Dicyclohexyl sulfosuccinic acid,DTXSID3047213,parent,n/a,Industrial Chemical,IC Surfactant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,pubchem,info about Dicyclohexyl sodium sulfosuccinate,3/1/2021,90918,QPSVFNQMURAADJ-UHFFFAOYSA-N,n/a
ID_0698,"1,4-Bis(octyloxy)-1,4-dioxobutane-2-sulfonic acid",DTXSID70859663,parent,n/a,Industrial Chemical,IC Detergent,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,Lenhard and du Plooy 1963 (doi: 10.1007/BF00036428),n/a,2/23/2022,15426,OXLXSOPFNVKUMU-UHFFFAOYSA-N,n/a
ID_0699,Dioctylsulfosuccinate,DTXSID1044279,parent,n/a,Pharmaceutical,Ph,treatment of constipation,humans,Metabolic system,Reduction of the surface tension of the stool,n/a,"increase in secretion of water, sodium, chloride, and potassium, decrease in absorption of glucose and bicarbonate (suggested: due to increase in intracellular cyclic AMP)",n/a,n/a,"drugbank, wikipedia",n/a,2/22/2022,11339,HNSDLXPSAYFUHK-UHFFFAOYSA-N,n/a
ID_0700,"1,4-Dichlorobenzene",DTXSID1020431,parent,n/a,"Industrial Chemical, Pesticide",IC Disinfectant/PC + I,n/a,insects,unknown,n/a,n/a,n/a,humans,Possibly carcinogenic,"wikipedia, IARC/2B/1999",n/a,1/21/2022,4685,OCJBOOLMMGQPQU-UHFFFAOYSA-N,n/a
ID_0701,"1,4-Dihydroxyanthraquinone | Quinizarin",DTXSID8044464,parent,n/a,"Natural, Industrial Chemical",IC Colorant/Lubricant,pH indicator,n/a,unknown,n/a,n/a,n/a,n/a,n/a,"wikipedia, CPDat",n/a,2/19/2022,6688,GUEIZVNYDFNHJU-UHFFFAOYSA-N,n/a
ID_0702,"1,4-Dioxacycloheptadecane-5,17-dione",DTXSID1044774,parent,n/a,"Industrial Chemical, Food Additive",IC PC/Fragrance + FA Flavorant,n/a,n/a,unknown,n/a,n/a,n/a,n/a,n/a,CPDat,n/a,3/14/2022,61014,XRHCAGNSDHCHFJ-UHFFFAOYSA-N,n/a
ID_0703,"1,4-Dioxane",DTXSID4020533,parent,n/a,Industrial Chemical,IC Solvent/Stabilizer/PC,fragrance,n/a,unknown,n/a,n/a,n/a,humans,Possibly carcinogenic,"CPDat, wikipedia, IARC/2B/1999",n/a,7/23/2022,31275,RYHBNJHYFVUHQT-UHFFFAOYSA-N,n/a
